ACTOR,EARNINGS,ROLES,MOVIE
Ian McKellen,12771718,Sir Leight Teabing,The Da Vinci Code
Audrey Tautou,12078459,Sophie Neveu,The Da Vinci Code
Paul Blythe,4787832,Silas,The Da Vinci Code
Hugo Weaving,6209397,V,V for Vendetta
Natalie Portman,10050077,Evey Hammond,V for Vendetta
Stephen Rea,14230734,Eric Finch,V for Vendetta
John Hurt,13858725,High Chancellor Adam Sutler,V for Vendetta
Ben Miles,25577197,Dascomb,V for Vendetta
Emile Hirsch,60887891,Speed Racer,Speed Racer
John Goodman,61081131,Pops,Speed Racer
Susan Sarandon,7507496,Mom,Speed Racer
Matthew Fox,23681593,Racer X,Speed Racer
Christina Ricci,66624050,Trixie,Speed Racer
Rain,1664153,Taejo Togokahn,Speed Racer
Ben Miles,16634566,Cass Jones,Speed Racer
Rain,4405788,Raizo,Ninja Assassin
Naomie Harris,8246020,Mika Coretti,Ninja Assassin
Rick Yune,38388435,Takeshi,Ninja Assassin
Ben Miles,61741090,Ryan Maslow,Ninja Assassin
Tom Hanks,86183235,Paul Edgecomb,The Green Mile
Michael Clarke Duncan,19970169,John Coffey,The Green Mile
David Morse,896224,Brutus "Brutal" Howell,The Green Mile
Bonnie Hunt,454679,Jan Edgecomb,The Green Mile
James Cromwell,29848122,Warden Hal Moores,The Green Mile
Sam Rockwell,12884896,Wild Bill Wharton,The Green Mile
Gary Sinise,15109142,Burt Hammersmith,The Green Mile
Patricia Clarkson,39147310,Melinda Moores,The Green Mile
Frank Langella,812387,Richard Nixon,Frost/Nixon
Michael Sheen,26078282,David Frost,Frost/Nixon
Kevin Bacon,885284,Jack Brennan,Frost/Nixon
Oliver Platt,744284,Bob Zelnick,Frost/Nixon
Sam Rockwell,26186408,James Reston,Frost/Nixon
Jack Nicholson,10240688,Hoffa,Hoffa
Danny DeVito,32609412,Robert "Bobby" Ciaro,Hoffa
J.T. Walsh,90686845,Frank Fitzsimmons,Hoffa
John C. Reilly,9233936,Peter "Pete" Connelly,Hoffa
Tom Hanks,6341847,Jim Lovell,Apollo 13
Kevin Bacon,299893,Jack Swigert,Apollo 13
Ed Harris,31910044,Gene Kranz,Apollo 13
Bill Paxton,2991970,Fred Haise,Apollo 13
Gary Sinise,20108780,Ken Mattingly,Apollo 13
Bill Paxton,2430170,Bill Harding,Twister
Helen Hunt,5624927,Dr. Jo Harding,Twister
Zach Grenier,34620316,Eddie,Twister
Philip Seymour Hoffman,15196414,Dustin "Dusty" Davis,Twister
Tom Hanks,1965911,Chuck Noland,Cast Away
Helen Hunt,5440839,Kelly Frears,Cast Away
Jack Nicholson,5289426,Randle McMurphy,One Flew Over the Cuckoos Nest
Danny DeVito,57300722,Martini,One Flew Over the Cuckoos Nest
Jack Nicholson,80958672,Harry Sanborn,Somethings Gotta Give
Diane Keaton,15751661,Erica Barry,Somethings Gotta Give
Keanu Reeves,1270490,Julian Mercer,Somethings Gotta Give
Robin Williams,631413,Andrew Marin,Bicentennial Man
Oliver Platt,12555113,Rupert Burns,Bicentennial Man
Tom Hanks,15614066,Rep. Charlie Wilson,Charlie Wilsons War
Julia Roberts,11482703,Joanne Herring,Charlie Wilsons War
Philip Seymour Hoffman,20435126,Gust Avrakotos,Charlie Wilsons War
Tom Hanks,2816393,Hero Boy,The Polar Express
Tom Hanks,4401367,Jimmy Dugan,A League of Their Own
Geena Davis,51249654,Dottie Hinson,A League of Their Own
Lori Petty,20775251,Kit Keller,A League of Their Own
Rosie ODonnell",137032,Doris Murphy,A League of Their Own
Madonna,31271689,All the Way Mae Mordabito,A League of Their Own
Bill Paxton,23756701,Bob Hinson,A League of Their Own
