PERSON1,PERSON2
Parker Posey,J.T. Walsh
Parker Posey,James Thompson
Parker Posey,Robin Williams
Parker Posey,Oliver Platt
Parker Posey,Jim Cash
Parker Posey,Rosie ODonnell
Parker Posey,Nancy Meyers
Parker Posey,Rob Reiner
Dave Chappelle,Laurence Fishburne
Dave Chappelle,Christopher Guest
Dave Chappelle,Ben Miles
Dave Chappelle,Jessica Thompson
Dave Chappelle,Billy Crystal
Dave Chappelle,Audrey Tautou
Dave Chappelle,Corey Feldman
Dave Chappelle,Werner Herzog
Dave Chappelle,J.T. Walsh
Dave Chappelle,Dina Meyer
Dave Chappelle,Matthew Fox
Dave Chappelle,Carrie-Anne Moss
Dave Chappelle,Patricia Clarkson
Dave Chappelle,Julia Roberts
Dave Chappelle,Christina Ricci
Dave Chappelle,James L. Brooks
Dave Chappelle,Al Pacino
Dave Chappelle,Philip Seymour Hoffman
Dave Chappelle,Joel Silver
Steve Zahn,Andy Wachowski
Steve Zahn,Liv Tyler
Steve Zahn,Richard Harris
Steve Zahn,Takeshi Kitano
Steve Zahn,Gene Hackman
Steve Zahn,Audrey Tautou
Steve Zahn,Marshall Bell
Steve Zahn,Jay Mohr
Steve Zahn,Mike Nichols
Steve Zahn,Chris Columbus
Steve Zahn,James Cromwell
Steve Zahn,Parker Posey
Tom Hanks,Ron Howard
Tom Hanks,John Goodman
Tom Hanks,Al Pacino
Tom Hanks,Geena Davis
Tom Hanks,Carrie Fisher
Tom Hanks,Bruno Kirby
Tom Hanks,Rob Reiner
Tom Hanks,Sam Rockwell
Tom Hanks,Cuba Gooding Jr.
Tom Hanks,Gene Hackman
Tom Hanks,Natalie Portman
Tom Hanks,Stefan Arndt
Tom Hanks,Chris Columbus
Tom Hanks,Keanu Reeves
Tom Hanks,Frank Langella
Tom Hanks,Bill Paxton
Tom Hanks,John Hurt
Tom Hanks,Meg Ryan
Tom Hanks,Ethan Hawke
Tom Hanks,Halle Berry
Tom Hanks,Stephen Rea
Nora Ephron,David Mitchell
Rita Wilson,Gene Hackman
Rita Wilson,Susan Sarandon
Rita Wilson,Victor Garber
Bill Pullman,Nathan Lane
Bill Pullman,Bruno Kirby
Bill Pullman,Steve Zahn
Bill Pullman,Dave Chappelle
Bill Pullman,Rob Reiner
Bill Pullman,Nancy Meyers
Bill Pullman,Bonnie Hunt
Bill Pullman,Annabella Sciorra
Bill Pullman,Corey Feldman
Bill Pullman,Paul Blythe
Bill Pullman,Robin Williams
Bill Pullman,Noah Wyle
Bill Pullman,Jim Broadbent
Bill Pullman,River Phoenix
Bill Pullman,James Marshall
Victor Garber,James Thompson
Victor Garber,John Patrick Stanley
Rosie ODonnell,Bill Paxton
John Patrick Stanley,Howard Deutch
John Patrick Stanley,Anthony Edwards
John Patrick Stanley,Geena Davis
John Patrick Stanley,Marshall Bell
John Patrick Stanley,Naomie Harris
John Patrick Stanley,Jay Mohr
John Patrick Stanley,Clint Eastwood
John Patrick Stanley,Jack Nicholson
John Patrick Stanley,Val Kilmer
John Patrick Stanley,Bruno Kirby
John Patrick Stanley,Takeshi Kitano
John Patrick Stanley,Nathan Lane
John Patrick Stanley,Christian Bale
John Patrick Stanley,James L. Brooks
John Patrick Stanley,Richard Harris
John Patrick Stanley,Robert Zemeckis
John Patrick Stanley,Bonnie Hunt
Nathan Lane,Clint Eastwood
Nathan Lane,Oliver Platt
Nathan Lane,Rita Wilson
Nathan Lane,James L. Brooks
Nathan Lane,River Phoenix
Nathan Lane,Werner Herzog
Nathan Lane,Christopher Guest
Nathan Lane,David Morse
Nathan Lane,Stephen Rea
Nathan Lane,James Marshall
Billy Crystal,Frank Darabont
Billy Crystal,Keanu Reeves
Billy Crystal,Emile Hirsch
Billy Crystal,Robert Zemeckis
Billy Crystal,Clint Eastwood
Billy Crystal,Howard Deutch
Carrie Fisher,Jan de Bont
Bruno Kirby,Greg Kinnear
Bruno Kirby,Kevin Bacon
Bruno Kirby,Philip Seymour Hoffman
Bruno Kirby,Frank Langella
Bruno Kirby,Christopher Guest
Bruno Kirby,Gary Sinise
Bruno Kirby,David Morse
Bruno Kirby,Matthew Fox
Bruno Kirby,Andy Wachowski
Bruno Kirby,Corey Feldman
Bruno Kirby,Paul Blythe
Bruno Kirby,Jonathan Lipnicki
Bruno Kirby,Bill Pullman
Bruno Kirby,John C. Reilly
Bruno Kirby,Ian McKellen
Bruno Kirby,Christian Bale
Bruno Kirby,Tom Hanks
Bruno Kirby,Rob Reiner
Liv Tyler,Natalie Portman
Liv Tyler,Val Kilmer
Liv Tyler,Rosie ODonnell
Liv Tyler,Takeshi Kitano
Liv Tyler,Paul Blythe
Liv Tyler,Annabella Sciorra
Liv Tyler,Ed Harris
Liv Tyler,Patricia Clarkson
Liv Tyler,Christina Ricci
Liv Tyler,Tony Scott
Liv Tyler,Lori Petty
Liv Tyler,Dina Meyer
Liv Tyler,Bill Paxton
Liv Tyler,David Mitchell
Liv Tyler,Laurence Fishburne
Liv Tyler,Geena Davis
Liv Tyler,Victor Garber
Liv Tyler,Bill Pullman
Liv Tyler,Michael Clarke Duncan
Liv Tyler,Naomie Harris
Liv Tyler,Susan Sarandon
Brooke Langton,Taylor Hackford
Brooke Langton,Howard Deutch
Brooke Langton,John Cusack
Brooke Langton,Christina Ricci
Brooke Langton,Cameron Crowe
Brooke Langton,Steve Zahn
Brooke Langton,James Marshall
Brooke Langton,Chris Columbus
Brooke Langton,Werner Herzog
Brooke Langton,Geena Davis
Brooke Langton,James Thompson
Brooke Langton,Jan de Bont
Brooke Langton,Billy Crystal
Brooke Langton,Emil Eifrem
Brooke Langton,Philip Seymour Hoffman
Brooke Langton,Kevin Pollak
Gene Hackman,Bill Paxton
Gene Hackman,Greg Kinnear
Gene Hackman,Vincent Ward
Gene Hackman,Audrey Tautou
Gene Hackman,Parker Posey
Gene Hackman,Christopher Guest
Gene Hackman,Al Pacino
